tweet_id,anger,disgust,fear,happiness,sadness,surprise
15883027645,0,0,0,0,1,0
15691492805,0,0,0,0,1,0
15092117801,0,0,0,0,1,0
15053166834,0,0,0,0,1,0
13923906349,0,0,0,0,1,0
13372520910,0,0,0,0,1,0
12596260067,0,0,0,0,1,0
12456387283,0,0,0,0,1,0
11869540626,0,0,0,0,1,0
11869421518,0,0,0,0,1,0
11251426906,0,0,0,0,1,0
11140673640,0,0,0,0,1,0
11132111390,0,0,0,0,1,0
10610857675,0,0,0,0,1,0
10424115266,0,0,0,0,1,0
10181293751,0,0,0,0,1,0
10081132460,0,0,0,0,1,0
10067969706,0,0,0,0,1,0
9469575985,0,0,0,0,1,0
8320692760,0,0,0,0,1,0
8076407878,0,0,0,0,1,0
7670536536,0,0,0,0,1,0
7186626500,0,0,0,0,1,0
7162199558,0,0,0,0,1,0
5991320150,0,0,0,0,1,0
5482961281,0,0,0,0,1,0
5227333981,0,0,0,0,1,0
4.04784E+16,0,0,0,0,1,0
4.04782E+16,0,0,0,0,1,0
3.93671E+16,0,0,0,0,1,0
3.83115E+16,0,0,0,0,1,0
3.83115E+16,0,0,0,0,1,0
3.83113E+16,0,0,0,0,1,0
3.75039E+16,0,0,0,0,1,0
3.70927E+16,0,0,0,0,1,0
3.61487E+16,0,0,0,0,1,0
3.59521E+16,0,0,0,0,1,0
3.556E+16,0,0,0,0,1,0
3.50852E+16,0,0,0,0,1,0
3.50848E+16,0,0,0,0,1,0
3.41982E+16,0,0,0,0,1,0
3.31259E+16,0,0,0,0,1,0
3.31256E+16,0,0,0,0,1,0
3.31252E+16,0,0,0,0,1,0
3.245E+16,0,0,0,0,1,0
3.1824E+16,0,0,0,0,1,0
3.15963E+16,0,0,0,0,1,0
3.1404E+16,0,0,0,0,1,0
3.12971E+16,0,0,0,0,1,0
3.02014E+16,0,0,0,0,1,0
3.01338E+16,0,0,0,0,1,0
2.991E+16,0,0,0,0,1,0
2.991E+16,0,0,0,0,1,0
2.96164E+16,0,0,0,0,1,0
2.96155E+16,0,0,0,0,1,0
2.96136E+16,0,0,0,0,1,0
2.94754E+16,0,0,0,0,1,0
2.91786E+16,0,0,0,0,1,0
2.91649E+16,0,0,0,0,1,0
2.86189E+16,0,0,0,0,1,0
2.85477E+16,0,0,0,0,1,0
2.85476E+16,0,0,0,0,1,0
2.85374E+16,0,0,0,0,1,0
2.85371E+16,0,0,0,0,1,0
2.78054E+16,0,0,0,0,1,0
2.78053E+16,0,0,0,0,1,0
2.74349E+16,0,0,0,0,1,0
2.74335E+16,0,0,0,0,1,0
2.74331E+16,0,0,0,0,1,0
2.72573E+16,0,0,0,0,1,0
2.67404E+16,0,0,0,0,1,0
2.63317E+16,0,0,0,0,1,0
2.5985E+16,0,0,0,0,1,0
2.59827E+16,0,0,0,0,1,0
2.59811E+16,0,0,0,0,1,0
2.59809E+16,0,0,0,0,1,0
2.59808E+16,0,0,0,0,1,0
2.59725E+16,0,0,0,0,1,0
2.59723E+16,0,0,0,0,1,0
2.59677E+16,0,0,0,0,1,0
2.58903E+16,0,0,0,0,1,0
2.56425E+16,0,0,0,0,1,0
2.56333E+16,0,0,0,0,1,0
2.51285E+16,0,0,0,0,1,0
2.5128E+16,0,0,0,0,1,0
2.50343E+16,0,0,0,0,1,0
2.48074E+16,0,0,0,0,1,0
2.47845E+16,0,0,0,0,1,0
2.47524E+16,0,0,0,0,1,0
2.456E+16,0,0,0,0,1,0
2.45566E+16,0,0,0,0,1,0
2.45563E+16,0,0,0,0,1,0
2.45111E+16,0,0,0,0,1,0
2.44816E+16,0,0,0,0,1,0
2.44761E+16,0,0,0,0,1,0
2.4408E+16,0,0,0,0,1,0
1.68762E+16,0,0,0,0,1,0
1.61287E+16,0,0,0,0,1,0
1.37252E+16,0,0,0,0,1,0
1.32529E+16,0,0,0,0,1,0
1.14868E+16,0,0,0,0,1,0
8.96549E+15,0,0,0,0,1,0
8.51723E+15,0,0,0,0,1,0
8.22937E+15,0,0,0,0,1,0
8.22878E+15,0,0,0,0,1,0
6.72385E+15,0,0,0,0,1,0
4.0653E+15,0,0,0,0,1,0
3.09634E+15,0,0,0,0,1,0
2.4256E+15,0,0,0,0,1,0
2.0423E+15,0,0,0,0,1,0
1.90656E+15,0,0,0,0,1,0
1.30034E+15,0,0,0,0,1,0
5.66228E+14,0,0,0,0,1,0
4.7181E+14,0,0,0,0,1,0
4.71806E+14,0,0,0,0,1,0
4.70237E+14,0,0,0,0,1,0
4.47473E+14,0,0,0,0,1,0
4.20663E+14,0,0,0,0,1,0
29685254659,0,0,0,0,1,0
29395188886,0,0,0,0,1,0
29354772448,0,0,0,0,1,0
29216574779,0,0,0,0,1,0
28989489278,0,0,0,0,1,0
27857504180,0,0,0,0,1,0
27818572052,0,0,0,0,1,0
27665623105,0,0,0,0,1,0
27358304910,0,0,0,0,1,0
26726018569,0,0,0,0,1,0
26643552002,0,0,0,0,1,0
24827917261,0,0,0,0,1,0
24740276530,0,0,0,0,1,0
24684186796,0,0,0,0,1,0
24683905718,0,0,0,0,1,0
23018502234,0,0,0,0,1,0
22923821574,0,0,0,0,1,0
22726263624,0,0,0,0,1,0
22219213717,0,0,0,0,1,0
22090633304,0,0,0,0,1,0
22080471932,0,0,0,0,1,0
21505812639,0,0,0,0,1,0
20879771457,0,0,0,0,1,0
20812508883,0,0,0,0,1,0
19589712575,0,0,0,0,1,0
19441920239,0,0,0,0,1,0
19441776846,0,0,0,0,1,0
19094610742,0,0,0,0,1,0
18978532379,0,0,0,0,1,0
18060048982,0,0,0,0,1,0
17782163090,0,0,0,0,1,0
17718060980,0,0,0,0,1,0
17544384460,0,0,0,0,1,0
17487987413,0,0,0,0,1,0
16944327766,0,0,0,0,1,0
16840339963,0,0,0,0,1,0
16466538575,0,0,0,0,1,0
1.34878E+17,0,0,0,0,1,0
1.34741E+17,0,0,0,0,1,0
1.34697E+17,0,0,0,0,1,0
1.34376E+17,0,0,0,0,1,0
1.34347E+17,0,0,0,0,1,0
1.34335E+17,0,0,0,0,1,0
1.33993E+17,0,0,0,0,1,0
1.33988E+17,0,0,0,0,1,0
1.3326E+17,0,0,0,0,1,0
1.33063E+17,0,0,0,0,1,0
1.33E+17,0,0,0,0,1,0
1.32868E+17,0,0,0,0,1,0
1.32503E+17,0,0,0,0,1,0
1.32178E+17,0,0,0,0,1,0
1.32163E+17,0,0,0,0,1,0
